demanda_preajuste,inventario_preajuste,produccion_preajuste,precio_preajuste,volatilidad_precio,subida_brusca_precio,escasez
3234.0,107.0,3197.0,19.0,1.90984,1,0
3223.0,49.0,3331.0,20.0,2.04634,1,0
3335.0,111.0,3278.0,20.0,2.22261,1,0
3299.0,38.0,3373.0,21.0,2.35531,1,0
3327.0,79.0,3369.0,22.0,2.47942,0,0
3359.0,85.0,3253.0,22.0,2.83328,1,0
3332.0,0.0,3602.0,24.0,3.05123,1,0
3376.0,191.0,3395.0,24.0,3.1241,0,0
3353.0,157.0,3442.0,24.0,3.04754,0,0
3314.0,174.0,3332.0,23.0,3.05614,0,0
3354.0,135.0,3347.0,23.0,3.08058,0,0
3337.0,91.0,3498.0,25.0,2.90689,0,0
3317.0,178.0,3271.0,23.0,2.76179,0,0
3348.0,94.0,3332.0,23.0,2.75454,0,0
3316.0,55.0,3380.0,25.0,2.6884,0,0
3317.0,95.0,3380.0,25.0,2.44745,0,0
3303.0,110.0,3409.0,25.0,2.22486,0,0
3355.0,150.0,3221.0,25.0,2.17888,0,0
3338.0,11.0,3353.0,27.0,2.35531,1,0
3407.0,23.0,3382.0,29.0,2.65471,1,0
3336.0,9.0,3385.0,31.0,3.26917,1,0
3319.0,46.0,3150.0,34.0,4.04228,1,1
3337.0,0.0,2907.0,37.0,5.11273,1,1
3304.0,0.0,2631.0,41.0,6.37868,1,1
3325.0,0.0,2368.0,45.0,7.86305,1,1
3299.0,0.0,2137.0,50.0,9.56609,1,1
3358.0,0.0,1927.0,55.0,11.35562,1,1
3312.0,0.0,1738.0,60.0,13.42488,1,1
3283.0,0.0,1570.0,67.0,15.5154,1,1
3199.0,0.0,1570.0,73.0,17.8451,1,1
3151.0,0.0,1570.0,81.0,20.41292,1,1
3133.0,0.0,1570.0,89.0,22.95534,1,1
2990.0,0.0,1570.0,97.0,25.70851,1,1
2958.0,0.0,1570.0,107.0,28.78472,1,1
2861.0,0.0,1570.0,118.0,32.07565,1,1
2856.0,0.0,1570.0,130.0,35.56469,1,1
2780.0,0.0,1570.0,143.0,39.3337,1,1
2709.0,0.0,1570.0,158.0,43.35078,1,1
2646.0,0.0,1570.0,173.0,47.80272,1,1
2524.0,0.0,1570.0,191.0,52.61984,1,1
2499.0,0.0,1570.0,210.0,57.90043,1,1
2495.0,0.0,1570.0,231.0,63.66182,1,1
2471.0,0.0,1570.0,254.0,69.96676,1,1
2382.0,0.0,1570.0,279.0,76.90597,1,1
2363.0,0.0,1570.0,307.0,84.60052,1,1
2342.0,0.0,1570.0,338.0,93.07948,1,1
2252.0,0.0,1570.0,372.0,102.34367,1,1
2187.0,0.0,1570.0,409.0,112.60262,1,1
2121.0,0.0,1570.0,450.0,123.83796,1,1
2046.0,0.0,1570.0,495.0,136.18218,1,1
2048.0,0.0,1570.0,544.0,149.82352,1,1
1975.0,0.0,1570.0,599.0,164.77569,1,1
1967.0,0.0,1570.0,659.0,181.13658,1,1
1900.0,0.0,1570.0,724.0,199.22457,1,1
1847.0,0.0,1570.0,797.0,219.1633,1,1
1910.0,0.0,1570.0,877.0,241.014,1,1
1858.0,0.0,1570.0,964.0,265.16431,1,1
1770.0,0.0,1570.0,1061.0,291.66426,1,1
1774.0,0.0,1570.0,1167.0,320.88728,1,1
1692.0,0.0,1570.0,1284.0,352.97681,1,0
1685.0,0.0,1570.0,1412.0,388.36118,1,0
